template,query_id,result_count,time_ms,dataset,triple_patterns
Q_1_eligibleregion,Q_1_eligibleregion_query_078,9,0.055,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_079,12,0.054,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_080,120,0.354,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_081,26,0.286,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_082,18,0.119,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_083,4,0.063,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_084,6,0.053,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_085,16,0.084,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_086,10,0.060,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_087,9,0.052,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_088,10,0.059,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_089,4,0.043,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_090,18,0.091,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_091,9,0.057,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_092,38,0.099,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_093,26,0.081,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_094,427,2.892,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_095,29,0.133,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_096,7,0.055,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_097,21,0.096,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_098,26,0.078,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_099,9,0.049,data_500K,1
Q_1_eligibleregion,Q_1_eligibleregion_query_100,6,0.054,data_500K,1
Q_1_includes,Q_1_includes_query_001,0,0.287,data_500K,1
Q_1_includes,Q_1_includes_query_002,0,0.138,data_500K,1
Q_1_includes,Q_1_includes_query_003,0,0.416,data_500K,1
Q_1_includes,Q_1_includes_query_004,0,0.046,data_500K,1
Q_1_includes,Q_1_includes_query_005,3,0.082,data_500K,1
Q_1_includes,Q_1_includes_query_006,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_007,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_008,0,0.032,data_500K,1
Q_1_includes,Q_1_includes_query_009,0,0.171,data_500K,1
Q_1_includes,Q_1_includes_query_010,6,0.077,data_500K,1
Q_1_includes,Q_1_includes_query_011,0,0.032,data_500K,1
Q_1_includes,Q_1_includes_query_012,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_013,0,0.035,data_500K,1
Q_1_includes,Q_1_includes_query_014,0,0.040,data_500K,1
Q_1_includes,Q_1_includes_query_015,0,0.056,data_500K,1
Q_1_includes,Q_1_includes_query_016,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_017,0,0.030,data_500K,1
Q_1_includes,Q_1_includes_query_018,5,0.297,data_500K,1
Q_1_includes,Q_1_includes_query_019,0,0.221,data_500K,1
Q_1_includes,Q_1_includes_query_020,0,0.054,data_500K,1
Q_1_includes,Q_1_includes_query_021,0,0.037,data_500K,1
Q_1_includes,Q_1_includes_query_022,0,0.046,data_500K,1
Q_1_includes,Q_1_includes_query_023,0,0.030,data_500K,1
Q_1_includes,Q_1_includes_query_024,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_025,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_026,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_027,0,0.337,data_500K,1
Q_1_includes,Q_1_includes_query_028,0,0.464,data_500K,1
Q_1_includes,Q_1_includes_query_029,0,0.058,data_500K,1
Q_1_includes,Q_1_includes_query_030,0,0.077,data_500K,1
Q_1_includes,Q_1_includes_query_031,0,0.037,data_500K,1
Q_1_includes,Q_1_includes_query_032,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_033,0,0.240,data_500K,1
Q_1_includes,Q_1_includes_query_034,0,0.319,data_500K,1
Q_1_includes,Q_1_includes_query_035,0,0.037,data_500K,1
Q_1_includes,Q_1_includes_query_036,0,0.248,data_500K,1
Q_1_includes,Q_1_includes_query_037,0,0.052,data_500K,1
Q_1_includes,Q_1_includes_query_038,0,0.043,data_500K,1
Q_1_includes,Q_1_includes_query_039,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_040,0,0.036,data_500K,1
Q_1_includes,Q_1_includes_query_041,0,0.036,data_500K,1
Q_1_includes,Q_1_includes_query_042,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_043,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_044,0,0.029,data_500K,1
Q_1_includes,Q_1_includes_query_045,0,0.043,data_500K,1
Q_1_includes,Q_1_includes_query_046,0,0.033,data_500K,1
Q_1_includes,Q_1_includes_query_047,0,0.071,data_500K,1
Q_1_includes,Q_1_includes_query_048,0,0.044,data_500K,1
Q_1_includes,Q_1_includes_query_049,0,0.111,data_500K,1
Q_1_includes,Q_1_includes_query_050,0,0.083,data_500K,1
Q_1_includes,Q_1_includes_query_051,0,0.040,data_500K,1
Q_1_includes,Q_1_includes_query_052,0,0.225,data_500K,1
Q_1_includes,Q_1_includes_query_053,0,0.038,data_500K,1
Q_1_includes,Q_1_includes_query_054,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_055,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_056,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_057,0,0.027,data_500K,1
Q_1_includes,Q_1_includes_query_058,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_059,5,0.072,data_500K,1
Q_1_includes,Q_1_includes_query_060,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_061,0,0.027,data_500K,1
Q_1_includes,Q_1_includes_query_062,0,0.038,data_500K,1
Q_1_includes,Q_1_includes_query_063,0,0.033,data_500K,1
Q_1_includes,Q_1_includes_query_064,0,0.034,data_500K,1
Q_1_includes,Q_1_includes_query_065,0,0.027,data_500K,1
Q_1_includes,Q_1_includes_query_066,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_067,5,0.053,data_500K,1
Q_1_includes,Q_1_includes_query_068,3,0.038,data_500K,1
Q_1_includes,Q_1_includes_query_069,0,0.027,data_500K,1
Q_1_includes,Q_1_includes_query_070,6,0.202,data_500K,1
Q_1_includes,Q_1_includes_query_071,0,0.116,data_500K,1
Q_1_includes,Q_1_includes_query_072,0,0.042,data_500K,1
Q_1_includes,Q_1_includes_query_073,0,0.030,data_500K,1
Q_1_includes,Q_1_includes_query_074,0,0.762,data_500K,1
Q_1_includes,Q_1_includes_query_075,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_076,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_077,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_078,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_079,0,0.028,data_500K,1
Q_1_includes,Q_1_includes_query_080,0,0.261,data_500K,1
Q_1_includes,Q_1_includes_query_081,0,0.046,data_500K,1
Q_1_includes,Q_1_includes_query_082,0,1.366,data_500K,1
Q_1_includes,Q_1_includes_query_083,0,0.054,data_500K,1
Q_1_includes,Q_1_includes_query_084,0,0.032,data_500K,1
Q_1_includes,Q_1_includes_query_085,0,0.034,data_500K,1
Q_1_includes,Q_1_includes_query_086,0,0.032,data_500K,1
Q_1_includes,Q_1_includes_query_087,0,0.026,data_500K,1
Q_1_includes,Q_1_includes_query_088,0,0.026,data_500K,1
Q_1_includes,Q_1_includes_query_089,0,0.048,data_500K,1
Q_1_includes,Q_1_includes_query_090,0,0.031,data_500K,1
Q_1_includes,Q_1_includes_query_091,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_092,0,0.025,data_500K,1
Q_1_includes,Q_1_includes_query_093,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_094,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_095,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_096,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_097,0,0.033,data_500K,1
Q_1_includes,Q_1_includes_query_098,0,0.024,data_500K,1
Q_1_includes,Q_1_includes_query_099,1,0.060,data_500K,1
Q_1_includes,Q_1_includes_query_100,0,0.129,data_500K,1
Q_1_likes,Q_1_likes_query_001,0,0.086,data_500K,1
Q_1_likes,Q_1_likes_query_002,0,0.037,data_500K,1
Q_1_likes,Q_1_likes_query_003,0,0.028,data_500K,1
Q_1_likes,Q_1_likes_query_004,0,0.026,data_500K,1
Q_1_likes,Q_1_likes_query_005,3,0.051,data_500K,1
Q_1_likes,Q_1_likes_query_006,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_007,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_008,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_009,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_010,2,0.041,data_500K,1
Q_1_likes,Q_1_likes_query_011,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_012,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_013,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_014,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_015,0,0.034,data_500K,1
Q_1_likes,Q_1_likes_query_016,0,0.050,data_500K,1
Q_1_likes,Q_1_likes_query_017,0,0.031,data_500K,1
Q_1_likes,Q_1_likes_query_018,2,0.057,data_500K,1
Q_1_likes,Q_1_likes_query_019,0,0.028,data_500K,1
Q_1_likes,Q_1_likes_query_020,0,0.026,data_500K,1
Q_1_likes,Q_1_likes_query_021,0,0.038,data_500K,1
Q_1_likes,Q_1_likes_query_022,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_023,0,0.041,data_500K,1
Q_1_likes,Q_1_likes_query_024,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_025,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_026,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_027,0,0.149,data_500K,1
Q_1_likes,Q_1_likes_query_028,0,0.051,data_500K,1
Q_1_likes,Q_1_likes_query_029,0,0.044,data_500K,1
Q_1_likes,Q_1_likes_query_030,0,0.026,data_500K,1
Q_1_likes,Q_1_likes_query_031,0,0.047,data_500K,1
Q_1_likes,Q_1_likes_query_032,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_033,0,0.033,data_500K,1
Q_1_likes,Q_1_likes_query_034,0,0.029,data_500K,1
Q_1_likes,Q_1_likes_query_035,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_036,0,0.032,data_500K,1
Q_1_likes,Q_1_likes_query_037,0,0.030,data_500K,1
Q_1_likes,Q_1_likes_query_038,0,0.113,data_500K,1
Q_1_likes,Q_1_likes_query_039,0,0.038,data_500K,1
Q_1_likes,Q_1_likes_query_040,0,0.030,data_500K,1
Q_1_likes,Q_1_likes_query_041,0,0.235,data_500K,1
Q_1_likes,Q_1_likes_query_042,0,0.054,data_500K,1
Q_1_likes,Q_1_likes_query_043,0,0.027,data_500K,1
Q_1_likes,Q_1_likes_query_044,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_045,0,0.028,data_500K,1
Q_1_likes,Q_1_likes_query_046,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_047,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_048,0,0.031,data_500K,1
Q_1_likes,Q_1_likes_query_049,0,0.028,data_500K,1
Q_1_likes,Q_1_likes_query_050,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_051,0,0.033,data_500K,1
Q_1_likes,Q_1_likes_query_052,0,0.027,data_500K,1
Q_1_likes,Q_1_likes_query_053,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_054,0,0.046,data_500K,1
Q_1_likes,Q_1_likes_query_055,0,0.027,data_500K,1
Q_1_likes,Q_1_likes_query_056,0,0.205,data_500K,1
Q_1_likes,Q_1_likes_query_057,0,0.050,data_500K,1
Q_1_likes,Q_1_likes_query_058,0,0.027,data_500K,1
Q_1_likes,Q_1_likes_query_059,2,0.074,data_500K,1
Q_1_likes,Q_1_likes_query_060,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_061,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_062,0,0.044,data_500K,1
Q_1_likes,Q_1_likes_query_063,0,0.037,data_500K,1
Q_1_likes,Q_1_likes_query_064,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_065,0,0.041,data_500K,1
Q_1_likes,Q_1_likes_query_066,0,0.030,data_500K,1
Q_1_likes,Q_1_likes_query_067,2,0.057,data_500K,1
Q_1_likes,Q_1_likes_query_068,3,0.035,data_500K,1
Q_1_likes,Q_1_likes_query_069,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_070,2,0.035,data_500K,1
Q_1_likes,Q_1_likes_query_071,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_072,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_073,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_074,0,0.066,data_500K,1
Q_1_likes,Q_1_likes_query_075,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_076,0,0.204,data_500K,1
Q_1_likes,Q_1_likes_query_077,0,0.097,data_500K,1
Q_1_likes,Q_1_likes_query_078,0,0.050,data_500K,1
Q_1_likes,Q_1_likes_query_079,0,0.030,data_500K,1
Q_1_likes,Q_1_likes_query_080,0,0.043,data_500K,1
Q_1_likes,Q_1_likes_query_081,0,0.027,data_500K,1
Q_1_likes,Q_1_likes_query_082,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_083,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_084,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_085,0,0.036,data_500K,1
Q_1_likes,Q_1_likes_query_086,0,0.119,data_500K,1
Q_1_likes,Q_1_likes_query_087,0,0.040,data_500K,1
Q_1_likes,Q_1_likes_query_088,0,0.033,data_500K,1
Q_1_likes,Q_1_likes_query_089,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_090,0,0.037,data_500K,1
Q_1_likes,Q_1_likes_query_091,0,2.047,data_500K,1
Q_1_likes,Q_1_likes_query_092,0,0.106,data_500K,1
Q_1_likes,Q_1_likes_query_093,0,0.023,data_500K,1
Q_1_likes,Q_1_likes_query_094,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_095,0,0.021,data_500K,1
Q_1_likes,Q_1_likes_query_096,0,0.020,data_500K,1
Q_1_likes,Q_1_likes_query_097,0,0.029,data_500K,1
Q_1_likes,Q_1_likes_query_098,0,0.024,data_500K,1
Q_1_likes,Q_1_likes_query_099,0,0.025,data_500K,1
Q_1_likes,Q_1_likes_query_100,0,0.044,data_500K,1
Q_1_nationality,Q_1_nationality_query_001,88,0.369,data_500K,1
Q_1_nationality,Q_1_nationality_query_002,9,0.089,data_500K,1
Q_1_nationality,Q_1_nationality_query_003,0,0.024,data_500K,1
Q_1_nationality,Q_1_nationality_query_004,0,0.046,data_500K,1
Q_1_nationality,Q_1_nationality_query_005,36,0.163,data_500K,1
Q_1_nationality,Q_1_nationality_query_006,0,0.024,data_500K,1
Q_1_nationality,Q_1_nationality_query_007,1,0.036,data_500K,1
Q_1_nationality,Q_1_nationality_query_008,0,0.021,data_500K,1
Q_1_nationality,Q_1_nationality_query_009,3,0.031,data_500K,1
Q_1_nationality,Q_1_nationality_query_010,2,0.034,data_500K,1
Q_1_nationality,Q_1_nationality_query_011,8,0.048,data_500K,1
Q_1_nationality,Q_1_nationality_query_012,2,0.030,data_500K,1
Q_1_nationality,Q_1_nationality_query_013,2,0.034,data_500K,1
Q_1_nationality,Q_1_nationality_query_014,0,0.026,data_500K,1
Q_1_nationality,Q_1_nationality_query_015,4,0.033,data_500K,1
Q_1_nationality,Q_1_nationality_query_016,9,0.043,data_500K,1
Q_1_nationality,Q_1_nationality_query_017,2,0.144,data_500K,1
Q_1_nationality,Q_1_nationality_query_018,7,0.056,data_500K,1
Q_1_nationality,Q_1_nationality_query_019,0,0.212,data_500K,1
Q_1_nationality,Q_1_nationality_query_020,1,0.072,data_500K,1
Q_1_nationality,Q_1_nationality_query_021,1,0.027,data_500K,1
Q_1_nationality,Q_1_nationality_query_022,2,0.025,data_500K,1
Q_1_nationality,Q_1_nationality_query_023,0,1.106,data_500K,1
Q_1_nationality,Q_1_nationality_query_024,0,0.047,data_500K,1
Q_1_nationality,Q_1_nationality_query_025,162,0.456,data_500K,1
Q_1_nationality,Q_1_nationality_query_026,7,0.061,data_500K,1
Q_1_nationality,Q_1_nationality_query_027,0,0.047,data_500K,1
Q_1_nationality,Q_1_nationality_query_028,0,0.020,data_500K,1
Q_1_nationality,Q_1_nationality_query_029,88,0.254,data_500K,1
Q_1_nationality,Q_1_nationality_query_030,2,0.985,data_500K,1
Q_1_nationality,Q_1_nationality_query_031,2,0.046,data_500K,1
Q_1_nationality,Q_1_nationality_query_032,1,0.034,data_500K,1
Q_1_nationality,Q_1_nationality_query_033,1,0.109,data_500K,1
Q_1_nationality,Q_1_nationality_query_034,2,0.027,data_500K,1
Q_1_nationality,Q_1_nationality_query_035,3,0.031,data_500K,1
Q_1_nationality,Q_1_nationality_query_036,0,0.018,data_500K,1
Q_1_nationality,Q_1_nationality_query_037,0,0.017,data_500K,1
Q_1_nationality,Q_1_nationality_query_038,0,0.018,data_500K,1
Q_1_nationality,Q_1_nationality_query_039,0,0.016,data_500K,1
Q_1_nationality,Q_1_nationality_query_040,6,0.033,data_500K,1
Q_1_nationality,Q_1_nationality_query_041,0,0.017,data_500K,1
Q_1_nationality,Q_1_nationality_query_042,2,0.023,data_500K,1
Q_1_nationality,Q_1_nationality_query_043,1,0.023,data_500K,1
Q_1_nationality,Q_1_nationality_query_044,2,0.021,data_500K,1
Q_1_nationality,Q_1_nationality_query_045,6,0.044,data_500K,1
Q_1_nationality,Q_1_nationality_query_046,2,0.022,data_500K,1
Q_1_nationality,Q_1_nationality_query_047,14,0.190,data_500K,1
Q_1_nationality,Q_1_nationality_query_048,6,0.137,data_500K,1
Q_1_nationality,Q_1_nationality_query_049,2,0.057,data_500K,1
Q_1_nationality,Q_1_nationality_query_050,2,0.119,data_500K,1
Q_1_nationality,Q_1_nationality_query_051,1,0.088,data_500K,1
Q_1_nationality,Q_1_nationality_query_052,0,0.068,data_500K,1
Q_1_nationality,Q_1_nationality_query_053,1,0.049,data_500K,1
Q_1_nationality,Q_1_nationality_query_054,4,0.034,data_500K,1
Q_1_nationality,Q_1_nationality_query_055,0,0.022,data_500K,1
Q_1_nationality,Q_1_nationality_query_056,4,0.029,data_500K,1
Q_1_nationality,Q_1_nationality_query_057,2,0.026,data_500K,1
Q_1_nationality,Q_1_nationality_query_058,4,0.024,data_500K,1
Q_1_nationality,Q_1_nationality_query_059,1,0.021,data_500K,1
Q_1_nationality,Q_1_nationality_query_060,1,0.034,data_500K,1
Q_1_nationality,Q_1_nationality_query_061,6,0.046,data_500K,1
Q_1_nationality,Q_1_nationality_query_062,3,0.029,data_500K,1
Q_1_nationality,Q_1_nationality_query_063,17,0.072,data_500K,1
Q_1_nationality,Q_1_nationality_query_064,0,0.020,data_500K,1
Q_1_nationality,Q_1_nationality_query_065,57,0.235,data_500K,1
Q_1_nationality,Q_1_nationality_query_066,1,0.031,data_500K,1
Q_1_nationality,Q_1_nationality_query_067,0,0.016,data_500K,1
Q_1_nationality,Q_1_nationality_query_068,30,0.088,data_500K,1
Q_1_nationality,Q_1_nationality_query_069,1,0.027,data_500K,1
Q_1_nationality,Q_1_nationality_query_070,0,0.017,data_500K,1
Q_1_nationality,Q_1_nationality_query_071,0,0.016,data_500K,1
Q_1_nationality,Q_1_nationality_query_072,162,0.718,data_500K,1
Q_1_nationality,Q_1_nationality_query_073,1,0.060,data_500K,1
Q_1_nationality,Q_1_nationality_query_074,13,0.067,data_500K,1
Q_1_nationality,Q_1_nationality_query_075,3,0.028,data_500K,1
Q_1_nationality,Q_1_nationality_query_076,4,0.076,data_500K,1
Q_1_nationality,Q_1_nationality_query_077,0,0.021,data_500K,1
Q_1_nationality,Q_1_nationality_query_078,1,0.025,data_500K,1
Q_1_nationality,Q_1_nationality_query_079,0,0.018,data_500K,1
Q_1_nationality,Q_1_nationality_query_080,1,0.023,data_500K,1
Q_1_nationality,Q_1_nationality_query_081,9,0.043,data_500K,1
Q_1_nationality,Q_1_nationality_query_082,4,0.026,data_500K,1
Q_1_nationality,Q_1_nationality_query_083,1,0.023,data_500K,1
Q_1_nationality,Q_1_nationality_query_084,14,0.070,data_500K,1
Q_1_nationality,Q_1_nationality_query_085,3,0.026,data_500K,1
Q_1_nationality,Q_1_nationality_query_086,3,0.032,data_500K,1
Q_1_nationality,Q_1_nationality_query_087,1,0.024,data_500K,1
Q_1_nationality,Q_1_nationality_query_088,1,0.022,data_500K,1
Q_1_nationality,Q_1_nationality_query_089,0,0.025,data_500K,1
Q_1_nationality,Q_1_nationality_query_090,3,0.037,data_500K,1
Q_1_nationality,Q_1_nationality_query_091,3,0.025,data_500K,1
Q_1_nationality,Q_1_nationality_query_092,0,0.018,data_500K,1
