config_id,optimization,selectivity,template,query_index,time_ms
B2,indexed,high,Q_2_includes_eligibleRegion,74,0.002379
B2,indexed,high,Q_1_subscribes,42,0.001492
B2,indexed,high,Q_2_subscribes_likes,61,0.002050
B2,indexed,high,Q_3_location_nationality_gender,43,0.288438
B2,indexed,high,Q_2_likes_nationality,17,0.272213
B2,indexed,high,Q_1_eligibleregion,52,0.003963
B2,indexed,high,Q_2_tag_homepage,44,0.002196
B2,indexed,high,Q_4_location_nationality_gender_type,3,0.004021
B2,indexed,high,Q_2_subscribes_likes,4,0.001938
B2,indexed,high,Q_3_location_nationality_gender,91,0.425367
B2,indexed,high,Q_3_location_nationality_gender,6,0.001446
B2,indexed,high,Q_3_location_nationality_gender,34,0.243291
B2,indexed,high,Q_2_includes_eligibleRegion,18,0.001217
B2,indexed,high,Q_4_location_nationality_gender_type,45,0.003487
B2,indexed,high,Q_3_location_nationality_gender,92,0.009404
B2,indexed,high,Q_2_subscribes_likes,39,0.000946
B2,indexed,high,Q_2_includes_eligibleRegion,38,0.000900
B2,indexed,high,Q_2_likes_nationality,52,3.480725
B2,indexed,high,Q_2_includes_eligibleRegion,92,0.004767
B2,indexed,high,Q_3_location_nationality_gender,33,0.002979
B2,indexed,high,Q_2_likes_nationality,6,0.001733
B2,indexed,high,Q_1_includes,10,0.001388
B2,indexed,high,Q_2_includes_eligibleRegion,62,0.683083
B2,indexed,high,Q_1_eligibleregion,43,0.013108
B2,indexed,high,Q_2_includes_eligibleRegion,68,0.001479
