config_id,optimization,selectivity,template,query_index,time_ms
B3,noindex,low,Q_3_location_gender_type,4,180.739488
B3,noindex,low,Q_1_eligibleregion,28,0.645104
B3,noindex,low,Q_1_nationality,0,0.575779
B3,noindex,low,Q_1_eligibleregion,35,0.660692
B3,noindex,low,Q_1_eligibleregion,11,0.704938
B3,noindex,low,Q_1_eligibleregion,12,0.693838
B3,noindex,low,Q_3_location_gender_type,7,359.716104
B3,noindex,low,Q_1_nationality,4,0.566275
B3,noindex,low,Q_1_eligibleregion,15,0.605096
B3,noindex,low,Q_1_eligibleregion,0,0.583467
B3,noindex,low,Q_1_eligibleregion,4,0.595929
B3,noindex,low,Q_1_eligibleregion,33,0.606546
B3,noindex,low,Q_1_eligibleregion,5,0.636337
B3,noindex,low,Q_1_eligibleregion,22,0.596096
B3,noindex,low,Q_1_eligibleregion,14,0.591967
B3,noindex,low,Q_1_eligibleregion,56,0.598350
B3,noindex,low,Q_1_eligibleregion,1,0.587779
B3,noindex,low,Q_1_eligibleregion,2,0.590050
B3,noindex,low,Q_1_nationality,22,0.592704
B3,noindex,low,Q_1_eligibleregion,3,0.596417
B3,noindex,low,Q_1_eligibleregion,50,0.618062
B3,noindex,low,Q_1_nationality,40,0.579071
B3,noindex,low,Q_1_eligibleregion,53,0.585958
B3,noindex,low,Q_1_eligibleregion,37,0.656662
B3,noindex,low,Q_3_nationality_gender_type,4,188.412946
