config_id,dataset_size,heap_mb,template,query_index,time_ms
A4,2M,8192,Q_2_tag_homepage,51,0.006854
A4,2M,8192,Q_2_tag_homepage,10,0.001946
A4,2M,8192,Q_2_tag_homepage,42,0.000196
A4,2M,8192,Q_2_tag_homepage,55,0.000942
A4,2M,8192,Q_2_tag_homepage,11,0.000687
A4,2M,8192,Q_2_tag_homepage,56,0.000721
A4,2M,8192,Q_2_tag_homepage,36,0.001879
A4,2M,8192,Q_1_nationality,39,0.008967
A4,2M,8192,Q_1_nationality,19,0.002217
A4,2M,8192,Q_1_nationality,52,0.005171
A4,2M,8192,Q_1_nationality,13,0.001917
A4,2M,8192,Q_1_nationality,43,0.001067
A4,2M,8192,Q_1_nationality,3,0.001696
A4,2M,8192,Q_1_nationality,0,0.048546
A4,2M,8192,Q_2_subscribes_likes,79,0.002146
A4,2M,8192,Q_2_subscribes_likes,13,0.002454
A4,2M,8192,Q_2_subscribes_likes,1,0.001225
A4,2M,8192,Q_2_subscribes_likes,98,0.000421
A4,2M,8192,Q_2_subscribes_likes,57,0.001304
A4,2M,8192,Q_2_subscribes_likes,42,0.000421
A4,2M,8192,Q_2_subscribes_likes,78,0.001354
A4,2M,8192,Q_1_likes,8,0.000104
A4,2M,8192,Q_1_likes,31,0.000104
A4,2M,8192,Q_1_likes,27,0.000975
A4,2M,8192,Q_1_likes,0,0.000496
A4,2M,8192,Q_1_likes,36,0.000113
A4,2M,8192,Q_1_likes,2,0.000100
A4,2M,8192,Q_1_likes,16,0.001904
A4,2M,8192,Q_1_eligibleregion,31,0.006241
A4,2M,8192,Q_1_eligibleregion,51,0.006009
A4,2M,8192,Q_1_eligibleregion,23,0.004134
A4,2M,8192,Q_1_eligibleregion,45,0.003825
A4,2M,8192,Q_1_eligibleregion,43,0.006867
A4,2M,8192,Q_1_eligibleregion,49,0.005875
A4,2M,8192,Q_1_eligibleregion,48,0.029071
A4,2M,8192,Q_3_location_gender_type,19,147.025033
A4,2M,8192,Q_3_location_gender_type,31,12.147358
A4,2M,8192,Q_3_location_gender_type,25,15.522387
A4,2M,8192,Q_3_location_gender_type,4,1249.379267
A4,2M,8192,Q_3_location_gender_type,7,2236.523150
A4,2M,8192,Q_3_location_gender_type,49,38.091596
A4,2M,8192,Q_3_location_gender_type,17,147.291858
A4,2M,8192,Q_3_location_nationality_gender,55,10.817387
A4,2M,8192,Q_3_location_nationality_gender,65,0.263529
A4,2M,8192,Q_3_location_nationality_gender,5,28.648137
A4,2M,8192,Q_3_location_nationality_gender,14,0.304571
A4,2M,8192,Q_3_location_nationality_gender,61,0.100429
A4,2M,8192,Q_3_location_nationality_gender,88,0.047100
A4,2M,8192,Q_3_location_nationality_gender,54,368.605862
A4,2M,8192,Q_1_includes,15,0.021471
A4,2M,8192,Q_1_includes,52,0.000617
A4,2M,8192,Q_1_includes,2,0.000463
A4,2M,8192,Q_1_includes,17,0.000854
A4,2M,8192,Q_1_includes,8,0.000396
A4,2M,8192,Q_1_includes,13,0.000079
A4,2M,8192,Q_1_includes,43,0.000100
A4,2M,8192,Q_1_subscribes,38,0.002696
A4,2M,8192,Q_1_subscribes,28,0.003492
A4,2M,8192,Q_1_subscribes,36,0.006000
A4,2M,8192,Q_1_subscribes,50,0.026233
A4,2M,8192,Q_1_subscribes,7,0.001050
A4,2M,8192,Q_1_subscribes,46,0.000116
A4,2M,8192,Q_1_subscribes,56,0.001446
A4,2M,8192,Q_4_location_nationality_gender_type,21,36.361800
A4,2M,8192,Q_4_location_nationality_gender_type,12,0.555187
A4,2M,8192,Q_4_location_nationality_gender_type,35,0.631350
A4,2M,8192,Q_4_location_nationality_gender_type,19,0.010454
A4,2M,8192,Q_4_location_nationality_gender_type,57,4.935687
A4,2M,8192,Q_4_location_nationality_gender_type,48,12.703979
A4,2M,8192,Q_4_location_nationality_gender_type,8,7.162125
A4,2M,8192,Q_3_nationality_gender_type,48,14.328933
A4,2M,8192,Q_3_nationality_gender_type,20,15.504158
A4,2M,8192,Q_3_nationality_gender_type,30,163.510283
A4,2M,8192,Q_3_nationality_gender_type,24,22.902638
A4,2M,8192,Q_3_nationality_gender_type,33,17.195779
A4,2M,8192,Q_3_nationality_gender_type,40,617.945838
A4,2M,8192,Q_3_nationality_gender_type,6,20.568808
A4,2M,8192,Q_2_likes_nationality,3,6.211742
A4,2M,8192,Q_2_likes_nationality,21,0.186321
A4,2M,8192,Q_2_likes_nationality,8,0.565233
A4,2M,8192,Q_2_likes_nationality,31,0.791183
A4,2M,8192,Q_2_likes_nationality,40,1.064483
A4,2M,8192,Q_2_likes_nationality,35,0.929671
A4,2M,8192,Q_2_likes_nationality,25,2.508913
A4,2M,8192,Q_2_includes_eligibleRegion,20,0.006404
A4,2M,8192,Q_2_includes_eligibleRegion,13,0.001609
A4,2M,8192,Q_2_includes_eligibleRegion,88,2.706888
A4,2M,8192,Q_2_includes_eligibleRegion,78,0.001483
A4,2M,8192,Q_2_includes_eligibleRegion,39,0.001125
A4,2M,8192,Q_2_includes_eligibleRegion,97,0.001504
A4,2M,8192,Q_2_includes_eligibleRegion,93,0.000858
A4,2M,8192,Q_2_includes_eligibleRegion,82,0.022196
A4,2M,8192,Q_1_includes,31,0.000938
A4,2M,8192,Q_1_subscribes,1,0.006425
A4,2M,8192,Q_3_nationality_gender_type,42,200.488513
A4,2M,8192,Q_3_location_nationality_gender,32,0.660192
A4,2M,8192,Q_1_includes,46,0.003042
A4,2M,8192,Q_4_location_nationality_gender_type,3,0.069208
A4,2M,8192,Q_4_location_nationality_gender_type,69,0.876934
A4,2M,8192,Q_2_includes_eligibleRegion,35,0.004033
