config_id,optimization,selectivity,template,query_index,time_ms
B4,indexed,low,Q_3_location_gender_type,4,72.470313
B4,indexed,low,Q_1_eligibleregion,28,0.039934
B4,indexed,low,Q_1_nationality,0,0.008404
B4,indexed,low,Q_1_eligibleregion,35,0.002679
B4,indexed,low,Q_1_eligibleregion,11,0.050071
B4,indexed,low,Q_1_eligibleregion,12,0.008384
B4,indexed,low,Q_3_location_gender_type,7,146.442534
B4,indexed,low,Q_1_nationality,4,0.004592
B4,indexed,low,Q_1_eligibleregion,15,0.004259
B4,indexed,low,Q_1_eligibleregion,0,0.001792
B4,indexed,low,Q_1_eligibleregion,4,0.002563
B4,indexed,low,Q_1_eligibleregion,33,0.006096
B4,indexed,low,Q_1_eligibleregion,5,0.021517
B4,indexed,low,Q_1_eligibleregion,22,0.003592
B4,indexed,low,Q_1_eligibleregion,14,0.002188
B4,indexed,low,Q_1_eligibleregion,56,0.003371
B4,indexed,low,Q_1_eligibleregion,1,0.001662
B4,indexed,low,Q_1_eligibleregion,2,0.002467
B4,indexed,low,Q_1_nationality,22,0.014900
B4,indexed,low,Q_1_eligibleregion,3,0.002787
B4,indexed,low,Q_1_eligibleregion,50,0.011596
B4,indexed,low,Q_1_nationality,40,0.004825
B4,indexed,low,Q_1_eligibleregion,53,0.001771
B4,indexed,low,Q_1_eligibleregion,37,0.025267
B4,indexed,low,Q_3_nationality_gender_type,4,75.506425
