config_id,dataset_size,heap_mb,template,query_index,time_ms
2,500K,8192,Q_2_tag_homepage,51,0.000542
2,500K,8192,Q_2_tag_homepage,10,0.000363
2,500K,8192,Q_2_tag_homepage,42,0.000233
2,500K,8192,Q_2_tag_homepage,55,0.000254
2,500K,8192,Q_2_tag_homepage,11,0.000229
2,500K,8192,Q_2_tag_homepage,56,0.000258
2,500K,8192,Q_2_tag_homepage,36,0.000517
2,500K,8192,Q_1_nationality,39,0.001921
2,500K,8192,Q_1_nationality,19,0.000467
2,500K,8192,Q_1_nationality,52,0.000863
2,500K,8192,Q_1_nationality,13,0.001092
2,500K,8192,Q_1_nationality,43,0.000283
2,500K,8192,Q_1_nationality,3,0.000200
2,500K,8192,Q_1_nationality,0,0.010479
2,500K,8192,Q_2_subscribes_likes,79,0.000329
2,500K,8192,Q_2_subscribes_likes,13,0.000817
2,500K,8192,Q_2_subscribes_likes,1,0.000175
2,500K,8192,Q_2_subscribes_likes,98,0.000271
2,500K,8192,Q_2_subscribes_likes,57,0.000217
2,500K,8192,Q_2_subscribes_likes,42,0.000192
2,500K,8192,Q_2_subscribes_likes,78,0.000200
2,500K,8192,Q_1_likes,8,0.000129
2,500K,8192,Q_1_likes,31,0.000542
2,500K,8192,Q_1_likes,27,0.000125
2,500K,8192,Q_1_likes,0,0.000162
2,500K,8192,Q_1_likes,36,0.000121
2,500K,8192,Q_1_likes,2,0.000129
2,500K,8192,Q_1_likes,16,0.000117
2,500K,8192,Q_1_eligibleregion,31,0.001208
2,500K,8192,Q_1_eligibleregion,51,0.000800
2,500K,8192,Q_1_eligibleregion,23,0.001525
2,500K,8192,Q_1_eligibleregion,45,0.002288
2,500K,8192,Q_1_eligibleregion,43,0.001304
2,500K,8192,Q_1_eligibleregion,49,0.001379
2,500K,8192,Q_1_eligibleregion,48,0.007308
2,500K,8192,Q_3_location_gender_type,19,6.526946
2,500K,8192,Q_3_location_gender_type,31,1.228229
2,500K,8192,Q_3_location_gender_type,25,0.379325
2,500K,8192,Q_3_location_gender_type,4,49.377513
2,500K,8192,Q_3_location_gender_type,7,108.209667
2,500K,8192,Q_3_location_gender_type,49,1.556625
2,500K,8192,Q_3_location_gender_type,17,14.370129
2,500K,8192,Q_3_location_nationality_gender,55,0.254904
2,500K,8192,Q_3_location_nationality_gender,65,0.043313
2,500K,8192,Q_3_location_nationality_gender,5,0.671013
2,500K,8192,Q_3_location_nationality_gender,14,0.013488
2,500K,8192,Q_3_location_nationality_gender,61,0.009987
2,500K,8192,Q_3_location_nationality_gender,88,0.001996
2,500K,8192,Q_3_location_nationality_gender,54,16.903258
2,500K,8192,Q_1_includes,15,0.004262
2,500K,8192,Q_1_includes,52,0.000804
2,500K,8192,Q_1_includes,2,0.000113
2,500K,8192,Q_1_includes,17,0.000121
2,500K,8192,Q_1_includes,8,0.000650
2,500K,8192,Q_1_includes,13,0.000133
2,500K,8192,Q_1_includes,43,0.000125
2,500K,8192,Q_1_subscribes,38,0.000159
2,500K,8192,Q_1_subscribes,28,0.000117
2,500K,8192,Q_1_subscribes,36,0.000121
2,500K,8192,Q_1_subscribes,50,0.000125
2,500K,8192,Q_1_subscribes,7,0.002988
2,500K,8192,Q_1_subscribes,46,0.000508
2,500K,8192,Q_1_subscribes,56,0.001325
2,500K,8192,Q_4_location_nationality_gender_type,21,1.483884
2,500K,8192,Q_4_location_nationality_gender_type,12,0.042258
2,500K,8192,Q_4_location_nationality_gender_type,35,0.063579
2,500K,8192,Q_4_location_nationality_gender_type,19,0.000884
2,500K,8192,Q_4_location_nationality_gender_type,57,0.000658
2,500K,8192,Q_4_location_nationality_gender_type,48,0.442134
2,500K,8192,Q_4_location_nationality_gender_type,8,0.711808
2,500K,8192,Q_3_nationality_gender_type,48,1.003867
2,500K,8192,Q_3_nationality_gender_type,20,1.023684
2,500K,8192,Q_3_nationality_gender_type,30,9.614296
2,500K,8192,Q_3_nationality_gender_type,24,1.774096
2,500K,8192,Q_3_nationality_gender_type,33,0.978650
2,500K,8192,Q_3_nationality_gender_type,40,36.087746
2,500K,8192,Q_3_nationality_gender_type,6,1.527967
2,500K,8192,Q_2_likes_nationality,3,0.574384
2,500K,8192,Q_2_likes_nationality,21,0.052775
2,500K,8192,Q_2_likes_nationality,8,0.001779
2,500K,8192,Q_2_likes_nationality,31,0.108646
2,500K,8192,Q_2_likes_nationality,40,0.054204
2,500K,8192,Q_2_likes_nationality,35,0.136692
2,500K,8192,Q_2_likes_nationality,25,0.413192
2,500K,8192,Q_2_includes_eligibleRegion,20,0.002733
2,500K,8192,Q_2_includes_eligibleRegion,13,0.001084
2,500K,8192,Q_2_includes_eligibleRegion,88,0.000896
2,500K,8192,Q_2_includes_eligibleRegion,78,0.001275
2,500K,8192,Q_2_includes_eligibleRegion,39,0.000508
2,500K,8192,Q_2_includes_eligibleRegion,97,0.000208
2,500K,8192,Q_2_includes_eligibleRegion,93,0.000396
2,500K,8192,Q_2_includes_eligibleRegion,82,0.018633
2,500K,8192,Q_1_includes,31,0.000642
2,500K,8192,Q_1_subscribes,1,0.000925
2,500K,8192,Q_3_nationality_gender_type,42,11.516725
2,500K,8192,Q_3_location_nationality_gender,32,0.011079
2,500K,8192,Q_1_includes,46,0.003209
2,500K,8192,Q_4_location_nationality_gender_type,3,0.001437
2,500K,8192,Q_4_location_nationality_gender_type,69,0.120842
2,500K,8192,Q_2_includes_eligibleRegion,35,0.000667\n
