config_id,dataset_size,heap_mb,template,query_index,time_ms
A1,500K,4096,Q_2_tag_homepage,51,0.001383
A1,500K,4096,Q_2_tag_homepage,10,0.001292
A1,500K,4096,Q_2_tag_homepage,42,0.000484
A1,500K,4096,Q_2_tag_homepage,55,0.000646
A1,500K,4096,Q_2_tag_homepage,11,0.000571
A1,500K,4096,Q_2_tag_homepage,56,0.000296
A1,500K,4096,Q_2_tag_homepage,36,0.000387
A1,500K,4096,Q_1_nationality,39,0.003638
A1,500K,4096,Q_1_nationality,19,0.002708
A1,500K,4096,Q_1_nationality,52,0.000800
A1,500K,4096,Q_1_nationality,13,0.000508
A1,500K,4096,Q_1_nationality,43,0.002108
A1,500K,4096,Q_1_nationality,3,0.000180
A1,500K,4096,Q_1_nationality,0,0.013350
A1,500K,4096,Q_2_subscribes_likes,79,0.000508
A1,500K,4096,Q_2_subscribes_likes,13,0.000354
A1,500K,4096,Q_2_subscribes_likes,1,0.000183
A1,500K,4096,Q_2_subscribes_likes,98,0.000475
A1,500K,4096,Q_2_subscribes_likes,57,0.000808
A1,500K,4096,Q_2_subscribes_likes,42,0.000171
A1,500K,4096,Q_2_subscribes_likes,78,0.000317
A1,500K,4096,Q_1_likes,8,0.000150
A1,500K,4096,Q_1_likes,31,0.000134
A1,500K,4096,Q_1_likes,27,0.000204
A1,500K,4096,Q_1_likes,0,0.000205
A1,500K,4096,Q_1_likes,36,0.000138
A1,500K,4096,Q_1_likes,2,0.000092
A1,500K,4096,Q_1_likes,16,0.000096
A1,500K,4096,Q_1_eligibleregion,31,0.003729
A1,500K,4096,Q_1_eligibleregion,51,0.001254
A1,500K,4096,Q_1_eligibleregion,23,0.003888
A1,500K,4096,Q_1_eligibleregion,45,0.003446
A1,500K,4096,Q_1_eligibleregion,43,0.001796
A1,500K,4096,Q_1_eligibleregion,49,0.004304
A1,500K,4096,Q_1_eligibleregion,48,0.010904
A1,500K,4096,Q_3_location_gender_type,19,5.848684
A1,500K,4096,Q_3_location_gender_type,31,1.253413
A1,500K,4096,Q_3_location_gender_type,25,0.372571
A1,500K,4096,Q_3_location_gender_type,4,44.443379
A1,500K,4096,Q_3_location_gender_type,7,111.762892
A1,500K,4096,Q_3_location_gender_type,49,1.624175
A1,500K,4096,Q_3_location_gender_type,17,12.542967
A1,500K,4096,Q_3_location_nationality_gender,55,0.266933
A1,500K,4096,Q_3_location_nationality_gender,65,0.043963
A1,500K,4096,Q_3_location_nationality_gender,5,0.982638
A1,500K,4096,Q_3_location_nationality_gender,14,0.015417
A1,500K,4096,Q_3_location_nationality_gender,61,0.012958
A1,500K,4096,Q_3_location_nationality_gender,88,0.002650
A1,500K,4096,Q_3_location_nationality_gender,54,18.327125
A1,500K,4096,Q_1_includes,15,0.003646
A1,500K,4096,Q_1_includes,52,0.000129
A1,500K,4096,Q_1_includes,2,0.000121
A1,500K,4096,Q_1_includes,17,0.000146
A1,500K,4096,Q_1_includes,8,0.000513
A1,500K,4096,Q_1_includes,13,0.000121
A1,500K,4096,Q_1_includes,43,0.000113
A1,500K,4096,Q_1_subscribes,38,0.001050
A1,500K,4096,Q_1_subscribes,28,0.000121
A1,500K,4096,Q_1_subscribes,36,0.000112
A1,500K,4096,Q_1_subscribes,50,0.002013
A1,500K,4096,Q_1_subscribes,7,0.000121
A1,500K,4096,Q_1_subscribes,46,0.000500
A1,500K,4096,Q_1_subscribes,56,0.000909
A1,500K,4096,Q_4_location_nationality_gender_type,21,1.560396
A1,500K,4096,Q_4_location_nationality_gender_type,12,0.036925
A1,500K,4096,Q_4_location_nationality_gender_type,35,0.059142
A1,500K,4096,Q_4_location_nationality_gender_type,19,0.000555
A1,500K,4096,Q_4_location_nationality_gender_type,57,0.000663
A1,500K,4096,Q_4_location_nationality_gender_type,48,0.660808
A1,500K,4096,Q_4_location_nationality_gender_type,8,0.309234
A1,500K,4096,Q_3_nationality_gender_type,48,1.044992
A1,500K,4096,Q_3_nationality_gender_type,20,1.015079
A1,500K,4096,Q_3_nationality_gender_type,30,13.918704
A1,500K,4096,Q_3_nationality_gender_type,24,2.499725
A1,500K,4096,Q_3_nationality_gender_type,33,0.565650
A1,500K,4096,Q_3_nationality_gender_type,40,49.008658
A1,500K,4096,Q_3_nationality_gender_type,6,2.426646
A1,500K,4096,Q_2_likes_nationality,3,1.136246
A1,500K,4096,Q_2_likes_nationality,21,0.060500
A1,500K,4096,Q_2_likes_nationality,8,0.002671
A1,500K,4096,Q_2_likes_nationality,31,0.131358
A1,500K,4096,Q_2_likes_nationality,40,0.050771
A1,500K,4096,Q_2_likes_nationality,35,0.095904
A1,500K,4096,Q_2_likes_nationality,25,0.173471
A1,500K,4096,Q_2_includes_eligibleRegion,20,0.005308
A1,500K,4096,Q_2_includes_eligibleRegion,13,0.000725
A1,500K,4096,Q_2_includes_eligibleRegion,88,0.000896
A1,500K,4096,Q_2_includes_eligibleRegion,78,0.001029
A1,500K,4096,Q_2_includes_eligibleRegion,39,0.000792
A1,500K,4096,Q_2_includes_eligibleRegion,97,0.000217
A1,500K,4096,Q_2_includes_eligibleRegion,93,0.000633
